Wavenumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
723.819,351.1596777,482.5233794,332.9603802,393.7805852,370.8628454,383.5308255,329.1646607,850.8548848,470.5683858,347.4531048,285.1206238,344.7464707,358.4491628,330.8284158,406.8572854
727.874,379.4093691,581.2318175,416.8257484,384.1667432,417.6460462,356.9961483,351.7429541,827.946866,524.8586606,361.1083295,415.7036776,390.5219556,402.5314488,405.1223267,361.1410711
731.921,466.6417926,525.6473352,336.2108412,401.3616568,287.1495512,329.7527195,336.7184486,769.4321655,419.3168238,323.4823129,402.0357803,431.9256847,307.0122945,280.97416,380.9556717
735.97,334.8468053,444.9396838,270.5759319,335.2254394,393.4231755,280.6508576,308.55117,709.4304509,379.9126418,276.2552809,371.1667245,378.1174359,268.6619275,349.2040395,344.3909101
740.011,226.4342641,350.6486141,234.4112935,281.568204,278.2167341,217.8808803,236.4111434,583.5613894,281.3158807,274.8974592,238.6563021,242.9869863,244.2405752,241.372089,293.8166092
744.049,206.6140254,220.7638763,188.5571986,155.9900633,196.3800416,200.4931053,289.6783941,471.744647,218.876306,191.259073,214.724305,214.4741131,144.9684647,217.3184319,247.2425914
748.082,111.0859454,136.8952205,45.8139196,204.3711297,84.52291217,124.70785,128.8229467,254.7098895,136.5536832,146.3803476,46.97052436,89.69859287,95.58582291,84.2831913,95.4286787
752.112,38.15988009,31.73239619,95.77172889,103.5415153,72.05515996,96.72543165,38.75482574,65.38678206,92.89777752,88.19150774,-9.385248411,89.66020222,60.97287652,154.5664901,87.92469309
756.138,-11.84431464,-5.99484687,1.260898623,56.51133212,-12.07340103,128.2261673,61.97405559,7.714989674,20.45835385,15.42277819,-5.963222179,36.25871756,17.79985215,113.3584512,-6.8895437
760.159,-4.376782914,-37.68675917,-1.478299072,-16.28930789,-43.78295689,11.57037398,19.94066058,-17.05582281,-57.82482281,-12.08561638,-0.293511921,-53.40608479,6.766976358,-22.3808028,-24.48420998
764.175,37.09244954,42.13646878,62.71440792,93.57970709,16.05642704,84.17836851,2.788664974,-20.3259905,84.73801242,99.92654867,44.27382701,29.96557147,44.08447569,14.0488507,33.86058481
768.19,-35.92659922,-29.53497668,1.569306506,-6.5413482,-1.824876809,7.36046775,-8.790906985,-50.065678,69.64720266,92.39961881,-46.5012578,-13.48600335,-10.78742332,-1.812241952,-27.06502392
772.199,8.836088803,70.77909073,98.98668352,45.65780085,25.58350398,129.9069885,-21.10203105,63.86515335,122.6530909,111.1939394,45.11118118,8.019501017,44.81150583,24.44626557,129.3890992
776.204,63.11089086,132.5391526,187.5968258,111.1174943,35.45196007,229.8382474,63.14140491,56.60704282,161.9360201,162.5998558,85.11155647,143.8825297,76.52159748,118.6647377,109.1633601
780.204,16.71818419,183.4156905,181.6900201,124.0580721,12.5008821,209.0945612,122.4357241,97.0905296,196.6363332,197.3277132,200.5802805,140.3635278,117.7831859,147.7735389,93.12816462
784.202,104.658346,292.5391859,214.2965529,122.2698741,137.0306607,259.4962463,120.2782494,160.1361528,266.2243726,297.3078565,283.6977657,181.2729403,202.2366055,207.8530335,129.7639186
788.196,192.2417533,488.5701198,328.8167106,266.3232402,243.8716864,352.7036188,230.6193041,294.9644515,422.350481,440.7406306,396.2844242,305.211212,426.3321902,336.3935857,324.4610276
792.184,424.0987833,802.6089734,572.9707794,409.3485099,438.5243497,611.8669947,394.7192107,679.5159646,652.3250005,600.47638,666.6306679,636.4387877,606.1502739,493.3455593,500.0098971
796.168,611.4698128,1162.106227,825.2690451,603.1260226,792.8890408,885.6366896,643.298292,1196.041231,989.0082729,989.4654488,1110.386908,1057.856111,918.7211903,738.919318,863.1609324
800.151,901.7252182,1613.17236,1227.661793,933.0161173,1039.54615,1164.233018,861.0768702,1650.720788,1284.980639,1276.68818,1440.393556,1394.803627,1279.085272,990.615225,1126.094538
804.126,877.9153754,1502.587851,1127.449307,1004.339132,1063.596065,1130.216295,835.7352668,1515.375172,1235.53244,1255.854918,1439.681021,1329.431778,1295.802851,1036.013643,1124.441118
808.098,726.1706592,1283.643178,981.8318716,863.9754049,931.1291745,983.6568329,783.1938025,1131.044919,1134.844013,1195.486001,1199.529712,1208.511004,1162.554259,961.8149323,945.9010752
812.067,591.9514437,1321.088814,937.8497676,863.4752718,859.3858657,1077.744943,791.4427973,920.7105627,975.2356975,1179.641771,1230.820035,1137.791746,1191.059823,934.0694543,948.7748108
816.031,864.9981023,1492.215235,1184.043277,1104.969068,1042.946524,1365.460937,1022.87257,1310.212635,1242.317829,1460.152567,1476.852396,1486.224442,1445.019874,1174.827568,1212.292726
819.991,1261.371008,2006.102913,1602.672679,1363.547129,1445.311535,1737.675124,1363.853439,1755.321667,1621.670743,1869.568725,1944.337199,1874.64953,1879.724737,1568.619632,1507.655219
823.95,1965.240532,3059.73232,2327.458253,2199.669788,2163.941282,2440.987813,2073.645722,2837.818189,2478.054773,2709.400583,2952.814848,2969.317447,2873.284739,2452.016004,2348.50269
827.902,3145.897045,4890.113924,3699.090276,3325.127377,3569.006149,3755.24931,3269.559735,4946.05273,3962.310253,4223.878473,4707.065743,4405.778626,4448.880202,3570.537039,3662.465536
831.85,5056.040916,7319.488192,5381.019024,5016.290227,5334.096514,5482.229919,4922.125791,7694.025816,6198.507513,6104.472729,7064.610282,6815.703498,6527.361449,5279.45309,5539.26415
835.793,7482.72251,11085.19559,8286.164768,7754.938663,7863.722756,8466.939941,7453.774201,10715.59797,9023.276879,9328.983676,10716.36886,9996.042491,10213.40879,8230.104508,8471.878924
839.735,9162.312188,13825.29656,10332.60777,9915.723008,9546.885246,10914.79967,9735.41527,12267.42969,10863.80867,12131.56164,13410.78186,12177.06602,12943.49255,10694.31164,10439.35024
843.669,8273.130302,12474.49155,9251.858298,9097.323575,8789.804348,9984.269395,8701.719297,11506.0515,9961.133199,11036.94692,12102.28966,11092.58451,11700.18301,9723.124811,9542.518485
847.601,6501.077198,9750.280999,7160.85659,6793.280669,6999.730415,7386.339389,6377.726571,10067.26388,7986.920764,8107.139834,9169.292623,8801.898341,8571.880472,7083.794359,7589.764016
851.528,6231.313209,9381.365312,6848.092886,6350.574584,6721.443793,6972.549918,6082.72737,9406.267308,7682.141657,7641.910659,8880.591097,8488.407909,8181.985202,6763.590595,7080.277192
855.452,6758.658665,10290.6449,7713.137419,7358.695609,7255.934821,8172.131241,7138.711969,9412.862252,8208.926158,8991.449679,10007.68542,9288.313589,9726.197469,7820.233827,7887.058363
859.372,6036.173889,9224.22016,6882.470411,6618.094025,6546.953829,7262.043609,6328.470635,8762.849172,7388.344544,8043.767165,8850.875933,8157.015752,8540.51753,6936.734358,7030.057872
863.287,4528.199197,7032.84148,5218.012079,4741.970107,5160.961143,5144.037264,4351.353628,7808.608518,5868.327079,5618.913383,6489.872951,6326.294758,5822.845636,4837.962482,5270.056053
867.197,3642.414898,5806.319236,4278.252633,3720.934122,4337.41708,3905.262443,3311.131201,7010.47073,5146.704024,4261.618588,5154.756787,5368.410958,4617.412025,3705.498486,4364.963232
